"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"27/Oct/22 08:00" " 0:00:35" " 0:00:31" " 0:00:33" 0
"27/Oct/22 08:33" " 0:00:37" " 0:00:33" " 0:00:35" 0
"27/Oct/22 09:07" " 0:01:00" " 0:00:34" " 0:00:46" 0
"27/Oct/22 09:40" " 0:00:44" " 0:00:35" " 0:00:39" 0
"27/Oct/22 10:14" " 0:00:49" " 0:00:36" " 0:00:42" 0
"27/Oct/22 10:47" " 0:00:44" " 0:00:36" " 0:00:41" 0
"27/Oct/22 11:20" " 0:01:00" " 0:00:35" " 0:00:42" 0
"27/Oct/22 11:54" " 0:00:37" " 0:00:30" " 0:00:33" 0
"27/Oct/22 12:26" " 0:00:33" " 0:00:30" " 0:00:32" 0
"27/Oct/22 12:59" " 0:00:36" " 0:00:30" " 0:00:33" 0
"27/Oct/22 13:32" " 0:00:36" " 0:00:32" " 0:00:33" 0
"27/Oct/22 14:06" " 0:00:55" " 0:00:38" " 0:00:44" 0
"27/Oct/22 14:38" " 0:00:35" " 0:00:31" " 0:00:33" 0
"27/Oct/22 15:11" " 0:00:35" " 0:00:31" " 0:00:33" 0
"27/Oct/22 15:44" " 0:00:36" " 0:00:33" " 0:00:34" 0
"27/Oct/22 16:17" " 0:00:37" " 0:00:31" " 0:00:34" 0
"27/Oct/22 16:50" " 0:00:39" " 0:00:31" " 0:00:33" 0
"27/Oct/22 17:23" " 0:00:34" " 0:00:30" " 0:00:32" 0
"27/Oct/22 17:55" " 0:00:33" " 0:00:32" " 0:00:32" 0
"27/Oct/22 18:28" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 19:01" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 19:34" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 20:06" " 0:00:33" " 0:00:31" " 0:00:32" 0
"27/Oct/22 20:39" " 0:00:32" " 0:00:31" " 0:00:31" 0
"27/Oct/22 21:12" " 0:00:33" " 0:00:32" " 0:00:32" 0
"27/Oct/22 21:45" " 0:00:35" " 0:00:32" " 0:00:33" 0
"27/Oct/22 22:17" " 0:00:37" " 0:00:32" " 0:00:34" 0
"27/Oct/22 22:50" " 0:00:34" " 0:00:31" " 0:00:32" 0
"27/Oct/22 23:23" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 23:56" " 0:00:34" " 0:00:31" " 0:00:33" 0
"28/Oct/22 00:28" " 0:00:33" " 0:00:30" " 0:00:31" 0
"28/Oct/22 01:01" " 0:00:34" " 0:00:31" " 0:00:32" 0
"28/Oct/22 01:34" " 0:00:33" " 0:00:30" " 0:00:32" 0
"28/Oct/22 02:07" " 0:00:33" " 0:00:31" " 0:00:32" 0
"28/Oct/22 02:39" " 0:00:35" " 0:00:32" " 0:00:33" 0
"28/Oct/22 03:12" " 0:00:34" " 0:00:32" " 0:00:33" 0
"28/Oct/22 03:45" " 0:00:34" " 0:00:31" " 0:00:32" 0
"28/Oct/22 04:18" " 0:00:33" " 0:00:32" " 0:00:33" 0
"28/Oct/22 04:50" " 0:00:32" " 0:00:30" " 0:00:31" 0
"28/Oct/22 05:23" " 0:00:33" " 0:00:32" " 0:00:32" 0
"28/Oct/22 05:56" " 0:00:34" " 0:00:31" " 0:00:33" 0
"28/Oct/22 06:29" " 0:00:33" " 0:00:31" " 0:00:32" 0
"28/Oct/22 07:01" " 0:00:38" " 0:00:32" " 0:00:34" 0
"28/Oct/22 07:34" " 0:00:34" " 0:00:32" " 0:00:33" 0
"28/Oct/22 08:07" " 0:00:32" " 0:00:31" " 0:00:32" 0
"28/Oct/22 08:40" " 0:00:35" " 0:00:32" " 0:00:33" 0
"28/Oct/22 09:13" " 0:00:40" " 0:00:35" " 0:00:37" 0
"28/Oct/22 09:46" " 0:00:41" " 0:00:38" " 0:00:40" 0
"28/Oct/22 10:19" " 0:00:44" " 0:00:38" " 0:00:41" 0
"28/Oct/22 10:52" " 0:00:35" " 0:00:32" " 0:00:33" 0
"28/Oct/22 11:26" " 0:00:41" " 0:00:33" " 0:00:37" 0
"28/Oct/22 11:59" " 0:00:39" " 0:00:32" " 0:00:35" 0
"28/Oct/22 12:31" " 0:00:34" " 0:00:31" " 0:00:32" 0
"28/Oct/22 13:05" " 0:00:52" " 0:00:34" " 0:00:39" 0
"28/Oct/22 13:38" " 0:00:42" " 0:00:34" " 0:00:37" 0
"28/Oct/22 14:11" " 0:00:35" " 0:00:32" " 0:00:33" 0
"28/Oct/22 14:44" " 0:00:37" " 0:00:35" " 0:00:36" 0
"28/Oct/22 15:17" " 0:00:42" " 0:00:32" " 0:00:36" 0
"28/Oct/22 15:50" " 0:00:41" " 0:00:34" " 0:00:37" 0
"28/Oct/22 16:23" " 0:00:35" " 0:00:34" " 0:00:34" 0
"28/Oct/22 16:56" " 0:00:37" " 0:00:32" " 0:00:35" 0
"28/Oct/22 17:29" " 0:00:40" " 0:00:33" " 0:00:37" 0
"28/Oct/22 18:02" " 0:00:38" " 0:00:34" " 0:00:35" 0
"28/Oct/22 18:34" " 0:00:32" " 0:00:31" " 0:00:32" 0
"28/Oct/22 19:07" " 0:00:37" " 0:00:33" " 0:00:35" 0
"28/Oct/22 19:40" " 0:00:37" " 0:00:31" " 0:00:33" 0
"28/Oct/22 20:13" " 0:00:35" " 0:00:32" " 0:00:34" 0
"28/Oct/22 20:46" " 0:00:34" " 0:00:32" " 0:00:33" 0
"28/Oct/22 21:19" " 0:00:36" " 0:00:33" " 0:00:34" 0
"28/Oct/22 21:52" " 0:00:33" " 0:00:31" " 0:00:32" 0
"28/Oct/22 22:24" " 0:00:34" " 0:00:31" " 0:00:33" 0
"28/Oct/22 22:57" " 0:00:34" " 0:00:32" " 0:00:33" 0
"28/Oct/22 23:30" " 0:00:33" " 0:00:31" " 0:00:32" 0
"29/Oct/22 00:03" " 0:00:33" " 0:00:31" " 0:00:32" 0
"29/Oct/22 00:35" " 0:00:34" " 0:00:31" " 0:00:32" 0
"29/Oct/22 01:08" " 0:00:39" " 0:00:32" " 0:00:34" 0
"29/Oct/22 01:41" " 0:00:34" " 0:00:33" " 0:00:34" 0
"29/Oct/22 02:14" " 0:00:34" " 0:00:31" " 0:00:33" 0
"29/Oct/22 02:47" " 0:00:36" " 0:00:31" " 0:00:33" 0
"29/Oct/22 03:19" " 0:00:33" " 0:00:31" " 0:00:32" 0
"29/Oct/22 03:52" " 0:00:32" " 0:00:31" " 0:00:32" 0
"29/Oct/22 04:25" " 0:00:33" " 0:00:30" " 0:00:32" 0
"29/Oct/22 04:57" " 0:00:33" " 0:00:32" " 0:00:32" 0
"29/Oct/22 05:30" " 0:00:33" " 0:00:31" " 0:00:32" 0
"29/Oct/22 06:03" " 0:00:40" " 0:00:32" " 0:00:34" 0
"29/Oct/22 06:36" " 0:00:35" " 0:00:31" " 0:00:33" 0
"29/Oct/22 07:08" " 0:00:32" " 0:00:30" " 0:00:30" 0
"29/Oct/22 07:41" " 0:00:32" " 0:00:30" " 0:00:31" 0
"29/Oct/22 08:14" " 0:00:47" " 0:00:35" " 0:00:40" 0
"29/Oct/22 08:47" " 0:00:36" " 0:00:31" " 0:00:33" 0
"29/Oct/22 09:20" " 0:00:35" " 0:00:32" " 0:00:33" 0
"29/Oct/22 09:53" " 0:00:33" " 0:00:30" " 0:00:32" 0
"29/Oct/22 10:26" " 0:00:35" " 0:00:32" " 0:00:34" 0
"29/Oct/22 10:58" " 0:00:33" " 0:00:31" " 0:00:32" 0
"29/Oct/22 11:31" " 0:00:31" " 0:00:30" " 0:00:31" 0
"29/Oct/22 12:04" " 0:00:45" " 0:00:42" " 0:00:44" 0
"29/Oct/22 12:38" " 0:00:46" " 0:00:43" " 0:00:43" 0
"29/Oct/22 13:12" " 0:00:46" " 0:00:43" " 0:00:44" 0
